index,init_x,init_y,init_z,target_x,target_y,target_z,init_distance,target_width_diameter,target_accuracy,movement_time,episode_successful,dist_to_target
342,0.54635823,0.135985827,0.091084283,0.55,0.126138307,0.136809384,0.04691504,0.01,0,0.1,TRUE,0.02140033
343,0.550036383,0.132871747,0.116496004,0.55,0.119894838,0.15613574,0.041709833,0.01,0,0.12,TRUE,0.01871321
344,0.552366011,0.129441537,0.140215722,0.55,0.111447967,0.169324601,0.034302965,0.01,0,0.14,TRUE,0.01517578
345,0.555497544,0.120337129,0.158321692,0.55,0.101910366,0.174847783,0.025355083,0.01,0,0.21,TRUE,0.00995237
346,0.551221467,0.109813312,0.168923167,0.55,0.092300051,0.172487533,0.017913989,0.01,0,0.17,TRUE,0.00986458
347,0.546639945,0.100307129,0.167807074,0.55,0.082989435,0.161777862,0.018642529,0.01,0,0.06,TRUE,0.01270179
348,0.548342863,0.09444979,0.166997971,0.55,0.075832052,0.144434664,0.029299644,0.01,0,0.08,TRUE,0.01819635
349,0.55016249,0.090711497,0.154907626,0.55,0.07125024,0.121425931,0.038727133,0.01,0,0.07,TRUE,0.02216062
350,0.549613132,0.082985303,0.140220385,0.55,0.070012142,0.097866374,0.044298023,0.01,0,0.08,TRUE,0.02284449
351,0.549584421,0.073993706,0.120357377,0.55,0.07180788,0.074357706,0.04605345,0.01,0,0.09,TRUE,0.02252443
352,0.549266073,0.071667592,0.096869735,0.55,0.07649353,0.053400251,0.043742707,0.01,0,0.09,TRUE,0.01837615
353,0.550246584,0.074628651,0.071679864,0.55,0.084328023,0.036047424,0.03692979,0.01,0,0.09,TRUE,0.01453369
354,0.550605869,0.078655533,0.049414694,0.55,0.094113507,0.026457954,0.027682629,0.01,0,0.08,TRUE,0.01130179
355,0.548901001,0.087223603,0.035349063,0.55,0.103843758,0.025618151,0.01929062,0.01,0,0.08,TRUE,0.00827859
356,0.548393301,0.095908328,0.02734513,0.55,0.113653152,0.03321717,0.018760094,0.01,0,0.07,TRUE,0.0104647
357,0.547083487,0.105904927,0.026816481,0.55,0.122164133,0.04945601,0.028025276,0.01,0,0.08,TRUE,0.01534284
358,0.546201053,0.117255468,0.035424772,0.55,0.127795616,0.071781685,0.038044078,0.01,0,0.08,TRUE,0.02025067
359,0.546435833,0.127451519,0.051850102,0.55,0.129967479,0.096508749,0.044871239,0.01,0,0.08,TRUE,0.02375358
360,0.54704301,0.133293737,0.073175839,0.55,0.128885225,0.120255209,0.047377694,0.01,0,0.08,TRUE,0.02355175
361,0.547103294,0.1366445,0.098207818,0.55,0.124670972,0.142671942,0.046139079,0.01,0,0.1,TRUE,0.02232317
362,0.550625905,0.133453205,0.122158419,0.55,0.118166868,0.159684844,0.040525256,0.01,0,0.13,TRUE,0.01805056
363,0.553605391,0.127688447,0.144779696,0.55,0.10939515,0.17122724,0.032359174,0.01,0,0.17,TRUE,0.01431849
364,0.554250976,0.119248729,0.161748028,0.55,0.099907922,0.174999647,0.023827359,0.01,0,0.22,TRUE,0.009984
365,0.547838466,0.108858309,0.171139771,0.55,0.090570883,0.171199181,0.018414823,0.01,0,0.14,TRUE,0.00947984
366,0.548131966,0.099580589,0.168918179,0.55,0.081688448,0.159407863,0.020348572,0.01,0,0.06,TRUE,0.01400374
367,0.54918144,0.094023466,0.165986775,0.55,0.075215864,0.142260102,0.030287802,0.01,0,0.07,TRUE,0.0166862
368,0.550527224,0.086570806,0.154475532,0.55,0.070865891,0.117889185,0.039818126,0.01,0,0.09,TRUE,0.02035629
369,0.550494827,0.077776732,0.137030087,0.55,0.070146069,0.092607937,0.045075484,0.01,0,0.09,TRUE,0.02180058
370,0.550605249,0.071463973,0.114360227,0.55,0.072790078,0.068414784,0.04596856,0.01,0,0.09,TRUE,0.02022939
371,0.549630349,0.071280517,0.088584384,0.55,0.078712662,0.047152977,0.042094358,0.01,0,0.09,TRUE,0.01875083
372,0.550374171,0.075059081,0.065540607,0.55,0.086683035,0.032794232,0.034750272,0.01,0,0.09,TRUE,0.01399291
373,0.549884948,0.080889887,0.045531097,0.55,0.09644248,0.025529198,0.025337173,0.01,0,0.08,TRUE,0.00915446
374,0.548408877,0.090098727,0.031934603,0.55,0.10717324,0.027175527,0.017796614,0.01,0,0.07,TRUE,0.008488
